Clima,CedulaCultivos,UsoSuelo,POP,YearPop,Prefix,Branch,Name,Topology,Variable,ObjectType,Year Filter, TimeStep Filter, TagFilter, Stat ,Value,CatchmentImpact,DiversionName
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza River Headflow,Below Tupiza River Headflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,0,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi1 Runoff,Below Tatasi1 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.26471224526468E-02,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Trapiche River Inflow,Below Trapiche River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,0.12931732624091,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi3 Runoff,Below Tatasi3 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,0.231138244556486,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi2 River Inflow,Below Tatasi2 River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,0.366966584020379,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi5 Runoff,Below Tatasi5 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,0.371826020687468,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Honda River Inflow,Below Honda River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.4604598026002,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi6 Runoff,Below Tatasi6 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.46357659894407,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below PucaHorno River Inflow,Below PucaHorno River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.52206152298854,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi7 Runoff,Below Tatasi7 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.52908136199793,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below TholaWaykho River Inflow,Below TholaWaykho River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.69656737583397,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi8 Runoff,Below Tatasi8 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.74608816974146,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi4 River Inflow,Below Tatasi4 River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.84311682408359,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tatasi Runoff,Below Tatasi Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.88803362975429,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 44,Below Withdrawal Node 44,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,1.88635866699896,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below TresPalcas River Inflow,Below TresPalcas River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,3.5059243631114,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 5,Below Withdrawal Node 5,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,3.48969815321107,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below OroIngenio Runoff,Below OroIngenio Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,3.50600378558974,D_OroIngenio,
