Tema_Central,Variable,Nombre,Fuente_Informacion,Descripcion,Unidad,RedondearDecimales,ColumnaInformacion,LimpiarNombre,Critico,Tipo_Objeto,ID_Tipo_Objeto,Nivel_Filtro,Escenario,Tag,Funcion_Agregacion,Filtro_Anio,Filtro_PasoTiempo,Siguiente_Agregacion,Imagen,Visualizacion_Mapa,Shape_Visualizacion,TamanoMinMax,Colores,ComentariosColoresNoSeUsa,CampoShapeUnion,ShapesContexto,NombresShapesContexto,ColorShapesContexto,Shape_Michart,Shape_ColoresMinichart,Visualizacion_Grafico,Etiqueta_EjeX,Umbral_Alerta,Umbral_Critico,ColorEscenarios,Apiladas,Colores_CategoriasApiladas,Umbral_Categorias,Visualizacion_MapaWASH,Shape_WASH,CampoShapeUnionWASH,ShapesContextoWASH,NombresShapesContextoWASH,ColorShapesContextoWASH,Visualizacion_Tabla,Visualizacion_Compuesta,VariableX,VariableY,NombreCompuestaEjex,NombreCompuestaEjey,UmbralEjex,UmbralEjey,Visualizacion_REVAMP,VariableInglesNoSeUsa
Contexto,Poblacion ,Poblacion,Script Indicadores,Poblacion total proyectada [personas],cap,0,Name,D_,MAX,Demand Site ,1,2,,,Average,,,,NO,SI,WEAPNode.shp,[100-3000],"#2c7bb6,#abd9e9,#ffffbf,#fdae61,#d7191c","menos (azul oscuro, azul claro, amarillo, naranja, rojo) mas",Name,"MinasActivas_Catchment.shp,MinasProyectadas_Catchment.shp,ComunidadesFinal_INE2012.shp,CuencaTupizaEstarca.shp,Drenaje.shp","Minas Activas,Minas Proyectadas,Comunidades INE2012,Cuenca Tupiza Estarca,Drenajes","red,grey,black,green,blue",NO,,SI,Unidad de demanda urbana y comunidades,NO,NO,Greens,NO,,,NO,,,,,,SI,NO,,,,,,,NO,Poblacion [cap]
Contexto,Area,Area_,Script Indicadores,Area de los catchments y/o microcuencas [ha],ha,1,Name,,MAX,Catchment ,21,2,,,Average,,,,NO,SI,WEAPCatchment.shp,,"#2c7bb6,#abd9e9,#ffffbf,#fdae61,#d7191c","menos (azul oscuro, azul claro, amarillo, naranja, rojo) mas",Name,"MinasActivas_Catchment.shp,MinasProyectadas_Catchment.shp,ComunidadesFinal_INE2012.shp,CuencaTupizaEstarca.shp,Drenaje.shp","Minas Activas,Minas Proyectadas,Comunidades INE2012,Cuenca Tupiza Estarca,Drenajes","red,grey,black,green,blue",NO,,SI,Catchment y/o microcuencas,NO,NO,Greens,NO,,,NO,,,,,,SI,NO,,,,,,,NO,Area Calculatada [ha]
Contexto,Mapas,Area de estudio,,Area de estudio del PDC,,,,,,,,,,,,,,,Area de estudio.png,NO,,,,,,,,,,,NO,,,,,,,,NO,,,,,,NO,NO,,,,,,,NO,Mapas
Contexto,Mapas,Mineria,,Area de concesiones de mineria,,,,,,,,,,,,,,,Mineria.png,NO,,,,,,,,,,,NO,,,,,,,,NO,,,,,,NO,NO,,,,,,,NO,Mapas
Contexto,Mapas,Cobertura vegetal,,Cobertura vegetal de la cuenca,,,,,,,,,,,,,,,Cobertura.png,NO,,,,,,,,,,,NO,,,,,,,,NO,,,,,,NO,NO,,,,,,,NO,Mapas
Agua Segura,Cobertura,Poblacion_Cobertura_Media,Script Indicadores,Cobertura de agua segura en unidades urbanas y/o comunidades para condiciones promedio [personas],cap,0,Name,D_,MIN,Demand Site ,1,2,,,Average,,365-365,,NO,SI,WEAPNode.shp,[100-3000],"#d7191c,#fdae61,#ffffbf,#abd9e9,#2c7bb6","menos (rojo, naranja, amarillo, azul claro, azul oscuro) mas",Name,"MinasActivas_Catchment.shp,MinasProyectadas_Catchment.shp,ComunidadesFinal_INE2012.shp,CuencaTupizaEstarca.shp,Drenaje.shp","Minas Activas,Minas Proyectadas,Comunidades INE2012,Cuenca Tupiza Estarca,Drenajes","red,grey,black,green,blue",NO,,SI,Unidad de demanda urbana y comunidades,NO,NO,Greens,NO,,,NO,,,,,,SI,NO,,,,,,,NO,Cobertura[cap]
Agua Segura,Cobertura,Poblacion_Cobertura_Media-AnioSequia,Script Indicadores,Cobertura de agua segura en unidades urbanas y/o comunidades para condiciones de anio seco [personas],cap,0,Name,D_,MIN,Demand Site ,1,2,,,Average,Dryest,365-365,,NO,SI,WEAPNode.shp,[100-3000],"#d7191c,#fdae61,#ffffbf,#abd9e9,#2c7bb6","menos (rojo, naranja, amarillo, azul claro, azul oscuro) mas",Name,"MinasActivas_Catchment.shp,MinasProyectadas_Catchment.shp,ComunidadesFinal_INE2012.shp,CuencaTupizaEstarca.shp,Drenaje.shp","Minas Activas,Minas Proyectadas,Comunidades INE2012,Cuenca Tupiza Estarca,Drenajes","red,grey,black,green,blue",NO,,SI,Unidad de demanda urbana y comunidades,NO,NO,Greens,NO,,,NO,,,,,,SI,NO,,,,,,,NO,Cobertura[cap]
Agua Segura,Cobertura,Poblacion_CoberturaPor_Media,Script Indicadores,Cobertura de agua segura en unidades urbanas y/o comunidades para condiciones promedio [%],%,1,Name,D_,MIN,Demand Site ,1,2,,,Average,,,,NO,SI,WEAPNode.shp,[100-3000],"#d7191c,#fdae61,#ffffbf,#abd9e9,#2c7bb6","menos (rojo, naranja, amarillo, azul claro, azul oscuro) mas",Name,"MinasActivas_Catchment.shp,MinasProyectadas_Catchment.shp,ComunidadesFinal_INE2012.shp,CuencaTupizaEstarca.shp,Drenaje.shp","Minas Activas,Minas Proyectadas,Comunidades INE2012,Cuenca Tupiza Estarca,Drenajes","red,grey,black,green,blue",BARRAS,Greens,SI,Unidad de demanda urbana y comunidades,95,70,Greens,NO,,,NO,,,,,,SI,NO,,,,,,,NO,
Agua Segura,Cobertura,Poblacion_CoberturaPor_Media-AnioSequia,Script Indicadores,Cobertura de agua segura en unidades urbanas y/o comunidades para condiciones de anio seco [%],%,1,Name,D_,MIN,Demand Site ,1,2,,,Average,Dryest,,,NO,SI,WEAPNode.shp,[100-3000],"#d7191c,#fdae61,#ffffbf,#abd9e9,#2c7bb6","menos (rojo, naranja, amarillo, azul claro, azul oscuro) mas",Name,"MinasActivas_Catchment.shp,MinasProyectadas_Catchment.shp,ComunidadesFinal_INE2012.shp,CuencaTupizaEstarca.shp,Drenaje.shp","Minas Activas,Minas Proyectadas,Comunidades INE2012,Cuenca Tupiza Estarca,Drenajes","red,grey,black,green,blue",PUNTOS,,SI,Unidad de demanda urbana y comunidades,95,70,Greens,NO,,,NO,,,,,,SI,NO,,,,,,,NO,
Agua Segura,Demanda Insatisfecha ,Poblacion_DemandaInsatisfecha-Media,Script Indicadores,Demanda insatisfecha en unidades urbanas y/o comunidades en condiciones promedio [m^3/dia],m^3,1,Name,D_,MAX,Demand Site ,1,2,,,Average,,,,NO,SI,WEAPNode.shp,[100-3000],"#2c7bb6,#abd9e9,#ffffbf,#fdae61,#d7191c","menos (azul oscuro, azul claro, amarillo, naranja, rojo) mas",Name,"MinasActivas_Catchment.shp,MinasProyectadas_Catchment.shp,ComunidadesFinal_INE2012.shp,CuencaTupizaEstarca.shp,Drenaje.shp","Minas Activas,Minas Proyectadas,Comunidades INE2012,Cuenca Tupiza Estarca,Drenajes","red,grey,black,green,blue",NO,,SI,Unidad de demanda urbana y comunidades,NO,NO,Greens,NO,,,NO,,,,,,SI,NO,,,,,,,NO,Demanda Insatisfecha [m^3]
